"/api/aggregation/$valuation","post","GetValuation","[BETA] Perform valuation for a list of portfolios and/or portfolio groups"
"/api/aggregation/$valuationinlined","post","GetValuationOfWeightedInstruments","[BETA] Perform valuation for an inlined portfolio"
"/api/aggregation/\{scope\}/\{code\}/$generateconfigurationrecipe","post","GenerateConfigurationRecipe","[EXPERIMENTAL] Generates a recipe sufficient to perform valuations for the given portfolio."
"/api/allocations","get","ListAllocations","[EXPERIMENTAL] List Allocations"
"/api/allocations","post","UpsertAllocations","[EXPERIMENTAL] Upsert Allocations"
"/api/allocations/\{scope\}/\{code\}","delete","DeleteAllocation","[EXPERIMENTAL] Delete allocation"
"/api/allocations/\{scope\}/\{code\}","get","GetAllocation","[EXPERIMENTAL] Get Allocation"
"/api/calendars/businessday/\{scope\}/\{code\}","get","IsBusinessDateTime","[EXPERIMENTAL] Check whether a DateTime is a ""Business DateTime"""
"/api/calendars/generic","get","ListCalendars","[EXPERIMENTAL] List Calenders"
"/api/calendars/generic","post","CreateCalendar","[EXPERIMENTAL] Create a calendar in its generic form"
"/api/calendars/generic/\{scope\}","get","ListCalendarsInScope","[EXPERIMENTAL] List all calenders in a specified scope"
"/api/calendars/generic/\{scope\}/\{code\}","delete","DeleteCalendar","[EXPERIMENTAL] Delete a calendar"
"/api/calendars/generic/\{scope\}/\{code\}","get","GetCalendar","[EXPERIMENTAL] Get a calendar in its generic form"
"/api/calendars/generic/\{scope\}/\{code\}","post","UpdateCalendar","[EXPERIMENTAL] Update a calendar"
"/api/calendars/generic/\{scope\}/\{code\}/dates","get","GetDates","[EXPERIMENTAL] Get dates for a specific calendar"
"/api/calendars/generic/\{scope\}/\{code\}/dates","put","AddDateToCalendar","[EXPERIMENTAL] Add a date to a calendar"
"/api/calendars/generic/\{scope\}/\{code\}/dates/\{dateId\}","delete","DeleteDateFromCalendar","[EXPERIMENTAL] Remove a date from a calendar"
"/api/conventions/credit/conventions","get","ListCdsFlowConventions","[BETA] List the set of CDS Flow Conventions"
"/api/conventions/credit/conventions","post","UpsertCdsFlowConventions","[BETA] Upsert a set of CDS Flow Conventions. This creates or updates the data in Lusid."
"/api/conventions/credit/conventions/\{scope\}/\{code\}","delete","DeleteCdsFlowConventions","[BETA] Delete the CDS Flow Conventions of given scope and code, assuming that it is present."
"/api/conventions/credit/conventions/\{scope\}/\{code\}","get","GetCdsFlowConventions","[BETA] Get CDS Flow Conventions"
"/api/conventions/rates/flowconventions","get","ListFlowConventions","[BETA] List the set of Flow Conventions"
"/api/conventions/rates/flowconventions","post","UpsertFlowConventions","[BETA] Upsert Flow Conventions. This creates or updates the data in Lusid."
"/api/conventions/rates/flowconventions/\{scope\}/\{code\}","delete","DeleteFlowConventions","[BETA] Delete the Flow Conventions of given scope and code, assuming that it is present."
"/api/conventions/rates/flowconventions/\{scope\}/\{code\}","get","GetFlowConventions","[BETA] Get Flow Conventions"
"/api/conventions/rates/indexconventions","get","ListIndexConvention","[BETA] List the set of Index Conventions"
"/api/conventions/rates/indexconventions","post","UpsertIndexConvention","[BETA] Upsert a set of Index Convention. This creates or updates the data in Lusid."
"/api/conventions/rates/indexconventions/\{scope\}/\{code\}","delete","DeleteIndexConvention","[BETA] Delete the Index Convention of given scope and code, assuming that it is present."
"/api/conventions/rates/indexconventions/\{scope\}/\{code\}","get","GetIndexConvention","[BETA] Get Index Convention"
"/api/corporateactionsources","get","ListCorporateActionSources","[BETA] List corporate action sources"
"/api/corporateactionsources","post","CreateCorporateActionSource","[BETA] Create Corporate Action Source"
"/api/corporateactionsources/\{scope\}/\{code\}","delete","DeleteCorporateActionSource","[BETA] Delete a corporate action source"
"/api/corporateactionsources/\{scope\}/\{code\}/corporateactions","delete","DeleteCorporateActions","[EXPERIMENTAL] Delete one or more corporate actions"
"/api/corporateactionsources/\{scope\}/\{code\}/corporateactions","get","GetCorporateActions","[BETA] Get corporate actions"
"/api/corporateactionsources/\{scope\}/\{code\}/corporateactions","post","BatchUpsertCorporateActions","[BETA] Upsert corporate actions"
"/api/counterparties/counterparties/counterparty","get","ListCounterparties","[EXPERIMENTAL] List the set of Counterparties"
"/api/counterparties/counterparties/counterparty","post","UpsertCounterparty","[EXPERIMENTAL] Upsert Counterparty. This creates or updates the data in Lusid."
"/api/counterparties/counterparties/counterparty/\{scope\}/\{code\}","delete","DeleteCounterparty","[EXPERIMENTAL] Delete the Counterparty of given scope and code, assuming that it is present."
"/api/counterparties/counterparties/counterparty/\{scope\}/\{code\}","get","GetCounterparty","[EXPERIMENTAL] Get Counterparty"
"/api/counterparties/counterparties/csa","get","ListCreditSupportAnnexes","[EXPERIMENTAL] List the set of CSAs"
"/api/counterparties/counterparties/csa","post","UpsertCreditSupportAnnex","[EXPERIMENTAL] Upsert CSA. This creates or updates the data in Lusid."
"/api/counterparties/counterparties/csa/\{scope\}/\{code\}","delete","DeleteCreditSupportAnnex","[EXPERIMENTAL] Delete the CSA of given scope and code, assuming that it is present."
"/api/counterparties/counterparties/csa/\{scope\}/\{code\}","get","GetCreditSupportAnnex","[EXPERIMENTAL] Get CSA"
"/api/datatypes","post","CreateDataType","[BETA] Create data type definition"
"/api/datatypes/\{scope\}","get","ListDataTypes","[EARLY ACCESS] List data types"
"/api/datatypes/\{scope\}/\{code\}","get","GetDataType","[EARLY ACCESS] Get data type definition"
"/api/datatypes/\{scope\}/\{code\}","put","UpdateDataType","[BETA] Update data type definition"
"/api/datatypes/\{scope\}/\{code\}/units","get","GetUnitsFromDataType","[EARLY ACCESS] Get units from data type"
"/api/derivedtransactionportfolios/\{scope\}","post","CreateDerivedPortfolio","[EARLY ACCESS] Create derived portfolio"
"/api/derivedtransactionportfolios/\{scope\}/\{code\}/details","delete","DeleteDerivedPortfolioDetails","[EARLY ACCESS] Delete derived portfolio details"
"/api/entities/changes/portfolios","get","GetPortfolioChanges","[EARLY ACCESS] Get the next change to each portfolio in a scope."
"/api/instruments","get","ListInstruments","[EARLY ACCESS] List instruments"
"/api/instruments","post","UpsertInstruments","Upsert instruments"
"/api/instruments/$get","post","GetInstruments","Get instruments"
"/api/instruments/$upsertproperties","post","UpsertInstrumentsProperties","Upsert instruments properties"
"/api/instruments/identifierTypes","get","GetInstrumentIdentifierTypes","[EARLY ACCESS] Get instrument identifier types"
"/api/instruments/\{identifierType\}/\{identifier\}","delete","DeleteInstrument","[EARLY ACCESS] Delete instrument"
"/api/instruments/\{identifierType\}/\{identifier\}","get","GetInstrument","Get instrument"
"/api/instruments/\{identifierType\}/\{identifier\}","post","UpdateInstrumentIdentifier","[EARLY ACCESS] Update instrument identifier"
"/api/instruments/\{identifierType\}/\{identifier\}/properties","get","GetInstrumentProperties","[EXPERIMENTAL] Get instrument properties"
"/api/instruments/\{identifierType\}/\{identifier\}/properties/$delete","post","DeleteInstrumentProperties","[EXPERIMENTAL] Delete properties from an instrument"
"/api/instruments/\{identifierType\}/\{identifier\}/properties/time-series","get","GetInstrumentPropertyTimeSeries","[EARLY ACCESS] Get the time series of an instrument property"
"/api/legalentities","post","UpsertLegalEntity","[EARLY ACCESS] Upsert Legal Entity"
"/api/legalentities/\{idTypeScope\}/\{idTypeCode\}","get","ListLegalEntities","[EARLY ACCESS] List Legal Entities"
"/api/legalentities/\{idTypeScope\}/\{idTypeCode\}/\{code\}","delete","DeleteLegalEntity","[EARLY ACCESS] Delete Legal Entity"
"/api/legalentities/\{idTypeScope\}/\{idTypeCode\}/\{code\}","get","GetLegalEntity","[EARLY ACCESS] Get Legal Entity"
"/api/legalentities/\{idTypeScope\}/\{idTypeCode\}/\{code\}/metadata","get","GetAllLegalEntityAccessMetadata","[EXPERIMENTAL] Get Access Metadata rules for a Legal Entity"
"/api/legalentities/\{idTypeScope\}/\{idTypeCode\}/\{code\}/metadata/\{metadataKey\}","delete","DeleteLegalEntityAccessMetadata","[EXPERIMENTAL] Delete a Legal Entity Access Metadata entry"
"/api/legalentities/\{idTypeScope\}/\{idTypeCode\}/\{code\}/metadata/\{metadataKey\}","get","GetLegalEntityAccessMetadataByKey","[EXPERIMENTAL] Get an entry identified by a metadataKey in the Access Metadata of a Legal Entity"
"/api/legalentities/\{idTypeScope\}/\{idTypeCode\}/\{code\}/metadata/\{metadataKey\}","put","UpsertLegalEntityAccessMetadata","[EXPERIMENTAL] Upsert a Legal Entity Access Metadata entry associated with a specific metadataKey. This creates or updates the data in LUSID."
"/api/legalentities/\{idTypeScope\}/\{idTypeCode\}/\{code\}/properties/time-series","get","GetLegalEntityPropertyTimeSeries","[EXPERIMENTAL] Get Legal Entity Property Time Series"
"/api/legalentities/\{idTypeScope\}/\{idTypeCode\}/\{code\}/relations","get","GetLegalEntityRelations","[EXPERIMENTAL] Get Relations for Legal Entity"
"/api/legalentities/\{idTypeScope\}/\{idTypeCode\}/\{code\}/relationships","get","GetLegalEntityRelationships","[EXPERIMENTAL] Get Relationships for Legal Entity"
"/api/login/saml/\{domain\}","get","GetSamlIdentityProviderId","Get SAML Identity Provider"
"/api/metadata/access/resources","get","ListAccessControlledResources","[EARLY ACCESS] Get resources available for access control"
"/api/metadata/downloads/exceladdin","get","GetExcelAddin","[EARLY ACCESS] Download Excel Addin"
"/api/metadata/quotes/rules","get","GetQuotesAccessMetadataRule","[EXPERIMENTAL] Get a quote access metadata rule"
"/api/metadata/quotes/rules/\{scope\}","delete","DeleteQuoteAcccesMetadataRule","[EXPERIMENTAL] Delete a Quote Access Metadata Rule"
"/api/metadata/quotes/rules/\{scope\}","get","ListQuotesAccessMetadataRules","[EXPERIMENTAL] List all quote access metadata rules in a scope"
"/api/metadata/quotes/rules/\{scope\}","post","UpsertQuoteAccessMetadataRule","[EXPERIMENTAL] Upsert a Quote Access Metadata Rule. This creates or updates the data in LUSID."
"/api/metadata/versions","get","GetLusidVersions","[EARLY ACCESS] Get LUSID versions"
"/api/orders","get","ListOrders","[EXPERIMENTAL] List Orders"
"/api/orders","post","UpsertOrders","[EXPERIMENTAL] Upsert Order"
"/api/orders/\{scope\}/\{code\}","delete","DeleteOrder","[EXPERIMENTAL] Delete order"
"/api/orders/\{scope\}/\{code\}","get","GetOrder","[EXPERIMENTAL] Get Order"
"/api/persons","post","UpsertPerson","[EXPERIMENTAL] Upsert Person"
"/api/persons/\{idTypeScope\}/\{idTypeCode\}","get","ListPersons","[EXPERIMENTAL] List Persons"
"/api/persons/\{idTypeScope\}/\{idTypeCode\}/\{code\}","delete","DeletePerson","[EXPERIMENTAL] Delete person"
"/api/persons/\{idTypeScope\}/\{idTypeCode\}/\{code\}","get","GetPerson","[EXPERIMENTAL] Get Person"
"/api/persons/\{idTypeScope\}/\{idTypeCode\}/\{code\}/identifiers","delete","DeletePersonIdentifiers","[EXPERIMENTAL] Delete Person Identifiers"
"/api/persons/\{idTypeScope\}/\{idTypeCode\}/\{code\}/identifiers","post","SetPersonIdentifiers","[EXPERIMENTAL] Set Person Identifiers"
"/api/persons/\{idTypeScope\}/\{idTypeCode\}/\{code\}/metadata","get","GetAllPersonAccessMetadata","[EXPERIMENTAL] Get Access Metadata rules for a Person"
"/api/persons/\{idTypeScope\}/\{idTypeCode\}/\{code\}/metadata/\{metadataKey\}","delete","DeletePersonAccessMetadata","[EXPERIMENTAL] Delete a Person Access Metadata entry"
"/api/persons/\{idTypeScope\}/\{idTypeCode\}/\{code\}/metadata/\{metadataKey\}","get","GetPersonAccessMetadataByKey","[EXPERIMENTAL] Get an entry identified by a metadataKey in the Access Metadata of a Person"
"/api/persons/\{idTypeScope\}/\{idTypeCode\}/\{code\}/metadata/\{metadataKey\}","put","UpsertPersonAccessMetadata","[EXPERIMENTAL] Upsert a Person Access Metadata entry associated with a specific metadataKey. This creates or updates the data in LUSID."
"/api/persons/\{idTypeScope\}/\{idTypeCode\}/\{code\}/properties","delete","DeletePersonProperties","[EXPERIMENTAL] Delete Person Properties"
"/api/persons/\{idTypeScope\}/\{idTypeCode\}/\{code\}/properties","post","SetPersonProperties","[EXPERIMENTAL] Set Person Properties"
"/api/persons/\{idTypeScope\}/\{idTypeCode\}/\{code\}/properties/time-series","get","GetPersonPropertyTimeSeries","[EXPERIMENTAL] Get Person Property Time Series"
"/api/persons/\{idTypeScope\}/\{idTypeCode\}/\{code\}/relations","get","GetPersonRelations","[EXPERIMENTAL] Get Relations for Person"
